["port 1","BOTTOM"]
["port 2","BOTTOM"]
["port 3","TOP"]
["port 4","TOP"]
("port 1","mode 1",1,"port 1",1,"transmission")
(23, 3)
1.9299139483749997e+14 9.4409072923805692e-01 8.5709421070147691e+00
1.9359660086208747e+14 9.4611117252296828e-01 9.7546428769961295e+00
1.9361596245833331e+14 9.4617289560782647e-01 9.7925018758819462e+00
1.9363532405457916e+14 9.4623914887893201e-01 9.8303674658824818e+00
1.9424053007916666e+14 9.4816994714009661e-01 1.1013601373883823e+01
1.9486509769999997e+14 9.5008122662408800e-01 1.2234214932774277e+01
1.9548966532083331e+14 9.5191122685612140e-01 1.3454327402035824e+01
1.9611423294166666e+14 9.5366629309886997e-01 1.4673958861842646e+01
1.9673880056250000e+14 9.5533095342102747e-01 1.5893085666539161e+01
1.9736336818333331e+14 9.5691585647613708e-01 1.7111716802927262e+01
1.9798793580416666e+14 9.5841621107439157e-01 1.8329858738229088e+01
1.9861250342500000e+14 9.5978599101128059e-01 1.9547488010082624e+01
1.9923707104583331e+14 9.6107388882350220e-01 2.0764583976728943e+01
1.9986163866666666e+14 9.6229367093407037e-01 2.1981202144748419e+01
("port 1","mode 1",1,"port 3",1,"transmission")
(23, 3)
1.8737028624999997e+14 7.8167918878348534e-04 -1.6255311880854204e+00
1.8799485387083331e+14 6.9424487955862689e-04 2.3697860552460603e-01
1.8861942149166662e+14 6.7117109527073512e-04 1.8443020341758927e+00
1.8924398911249997e+14 6.1393432565915644e-04 3.2245640623089282e+00
1.8986855673333331e+14 5.7491473583027837e-04 4.4884843689224354e+00
1.9049312435416662e+14 6.0965784543642876e-04 5.7881219828724566e+00
1.9111769197499997e+14 7.0178764115484964e-04 7.2066035269635540e+00
1.9174225959583331e+14 7.8946369756162957e-04 8.7213567927470095e+00
1.9236682721666666e+14 8.1430417294092370e-04 1.0334722383663578e+01
1.9299139483749997e+14 7.9940781372891761e-04 1.2097522264566470e+01
1.9359660086208747e+14 8.5565389290510863e-04 1.3906732362200596e+01
1.9361596245833331e+14 8.5928533032118446e-04 1.3964160755568436e+01
1.9363532405457916e+14 8.6300616271076504e-04 1.4021482485957893e+01
1.9424053007916666e+14 1.0005290023803065e-03 1.5751949503638775e+01
1.9486509769999997e+14 1.0837684857882802e-03 1.7443721510203062e+01
1.9548966532083331e+14 1.0454492335892109e-03 1.9139590507074100e+01
1.9611423294166666e+14 9.5239020366438755e-04 2.0893384373480551e+01
1.9673880056250000e+14 8.4515073829644896e-04 2.2646527078420704e+01
1.9736336818333331e+14 6.3440641959045538e-04 2.4372416126239099e+01
1.9798793580416666e+14 3.1691300078927288e-04 2.6457701329764291e+01
1.9861250342500000e+14 4.1235757088742113e-04 2.9334515289394474e+01
1.9923707104583331e+14 6.9751955937633840e-04 3.1124283124633482e+01
1.9986163866666666e+14 6.9789015341956725e-04 3.2745680210536570e+01
("port 1","mode 1",1,"port 4",1,"transmission")
(23, 3)
1.8737028624999997e+14 3.8216605439800805e-01 2.2731690582935893e+00
1.8799485387083331e+14 3.7435335547931842e-01 3.4990637332483310e+00
1.8861942149166662e+14 3.6672692772093579e-01 4.7245068762336411e+00
1.8924398911249997e+14 3.5929110449585266e-01 5.9494913028700402e+00
1.8986855673333331e+14 3.5203515463359564e-01 7.1740088487488283e+00
1.9049312435416662e+14 3.4495624638686223e-01 8.3980308399906889e+00
1.9111769197499997e+14 3.3804163750284771e-01 9.6215383234128087e+00
1.9174225959583331e+14 3.3129160958459758e-01 1.0844539539777934e+01
1.9236682721666666e+14 3.2468821292116423e-01 1.2067066212139073e+01
1.9299139483749997e+14 3.1822913268735259e-01 1.3289002760673286e+01
1.9359660086208747e+14 3.1209955206168055e-01 1.4472545088563237e+01
1.9361596245833331e+14 3.1190558002316737e-01 1.4510402110044872e+01
